source,RL,bin,num_sentences,mean_rate,pct,num_sentences_no_tanw,mean_rate_no_tanw,pct_no_tanw
ALC,17.0,4/5,0,0.0,0.0,0,0.0,0.0
ALC,17.0,5/5,0,0.0,0.0,0,0.0,0.0
ANERCorp,1.0,0,36,0.0,100.0,36,0.0,100.0
ANERCorp,1.0,1/5,0,0.0,0.0,0,0.0,0.0
ANERCorp,1.0,2/5,0,0.0,0.0,0,0.0,0.0
ANERCorp,1.0,3/5,0,0.0,0.0,0,0.0,0.0
ANERCorp,1.0,4/5,0,0.0,0.0,0,0.0,0.0
ANERCorp,1.0,5/5,0,0.0,0.0,0,0.0,0.0
ANERCorp,2.0,0,3,0.0,100.0,3,0.0,100.0
ANERCorp,2.0,1/5,0,0.0,0.0,0,0.0,0.0
ANERCorp,2.0,2/5,0,0.0,0.0,0,0.0,0.0
ANERCorp,2.0,3/5,0,0.0,0.0,0,0.0,0.0
ANERCorp,2.0,4/5,0,0.0,0.0,0,0.0,0.0
ANERCorp,2.0,5/5,0,0.0,0.0,0,0.0,0.0
ANERCorp,3.0,0,10,0.0,100.0,10,0.0,100.0
ANERCorp,3.0,1/5,0,0.0,0.0,0,0.0,0.0
ANERCorp,3.0,2/5,0,0.0,0.0,0,0.0,0.0
ANERCorp,3.0,3/5,0,0.0,0.0,0,0.0,0.0
ANERCorp,3.0,4/5,0,0.0,0.0,0,0.0,0.0
ANERCorp,3.0,5/5,0,0.0,0.0,0,0.0,0.0
ANERCorp,4.0,0,6,0.0,100.0,6,0.0,100.0
ANERCorp,4.0,1/5,0,0.0,0.0,0,0.0,0.0
ANERCorp,4.0,2/5,0,0.0,0.0,0,0.0,0.0
ANERCorp,4.0,3/5,0,0.0,0.0,0,0.0,0.0
ANERCorp,4.0,4/5,0,0.0,0.0,0,0.0,0.0
ANERCorp,4.0,5/5,0,0.0,0.0,0,0.0,0.0
ANERCorp,5.0,0,8,0.0,88.89,8,0.0,88.89
ANERCorp,5.0,1/5,1,0.0455,11.11,1,0.0455,11.11
ANERCorp,5.0,2/5,0,0.0,0.0,0,0.0,0.0
ANERCorp,5.0,3/5,0,0.0,0.0,0,0.0,0.0
ANERCorp,5.0,4/5,0,0.0,0.0,0,0.0,0.0
ANERCorp,5.0,5/5,0,0.0,0.0,0,0.0,0.0
ANERCorp,6.0,0,10,0.0,100.0,10,0.0,100.0
ANERCorp,6.0,1/5,0,0.0,0.0,0,0.0,0.0
ANERCorp,6.0,2/5,0,0.0,0.0,0,0.0,0.0
ANERCorp,6.0,3/5,0,0.0,0.0,0,0.0,0.0
ANERCorp,6.0,4/5,0,0.0,0.0,0,0.0,0.0
ANERCorp,6.0,5/5,0,0.0,0.0,0,0.0,0.0
ANERCorp,7.0,0,20,0.0,83.33,21,0.0,87.5
ANERCorp,7.0,1/5,3,0.0589,12.5,3,0.0463,12.5
ANERCorp,7.0,2/5,1,0.2273,4.17,0,0.0,0.0
ANERCorp,7.0,3/5,0,0.0,0.0,0,0.0,0.0
ANERCorp,7.0,4/5,0,0.0,0.0,0,0.0,0.0
ANERCorp,7.0,5/5,0,0.0,0.0,0,0.0,0.0
